Title,Category,Questions Average BLEU,Options Average BLEU
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0,0
Why does everyone hate pigeons?,Science & Technology,0.7161632017931407,0.2657777266576514
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0.7215451886406834,1.0
Is it normal to talk to yourself?,Psychology,0,0
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.6806706905001719,0.5235241182991703
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0,0
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0.7185514718867739,0.2972196420396344
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0.6977649583524493,0.2085565891258085
Einstein's twin paradox explained - Amber Stuver,Mathematics,0,0
Why should you wear sunscreen?,Science & Technology,0.7078625081700958,0.36688036595229445
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.7091039247209534,0.37553805668013845
Food waste causes climate change. Here's how we stop it,Science & Technology,0,0
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0,0
Why is meningitis so dangerous? - Melvin Sanicas,Health,0.7307712750684586,0.5015943094422328
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0,0
The race to decode a mysterious language - Susan Lupack,Linguistics,0.7256679333623527,0.6977935136529707
What if all the ice melted on Earth?,Science & Technology,0.7141838778298019,0.7816678914233852
Why are you always tired?,Health,0.6897253114195008,0.5440751288443643
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0,0
I Like Myself - Children's books read aloud,Literature,0.7860746400575752,0.6358909878057959
What is schizophrenia? - Anees Bahji,Health,0,0
How do pelicans survive their death-defying dives?,Environmental Science,0,0
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0.7816928902484034,0.4650230911304044
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0,0
Fabulous food chains,Environmental Science,0.7374178087128219,0.38156222889629093
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0.7739082838153695,0.35175885953267694
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0,0
Volcanic eruption explained - Steven Anderson,Science & Technology,0.7393539687069903,0.2128458243764016
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0,0
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0,0
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.6943548060132789,0.30811488445257823
How this disease changes the shape of your cells - Amber M. Yates,Health,0,0
The counting by fives song | Counting songs,Numbers & Operations,0,0
Why do we have leap years?,Teaching & Education,0.6582659042072672,0.5056269392679416
Is binge watching bad for you?,Health,0.6909488285151808,0.6104433710224391
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0,0
Why do we wrinkle when wet?,Health,0.7246407621390446,0.3980753366789567
3D shapes song | Shapes for kids,Geometry,0.7518401351599703,0.7098225779226793
The most common STI in the world - Emma Bryce,Literature & Language,0,0
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0.7492131325864071,0.3946054761143357
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0,0
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0.7196702200808287,1.0
The surprising similarities between Twister and intelligence,Health,0.7503593081362536,0.5436780083544627
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0.7099123351905581,0.40298520039043895
Why beavers are the smartest thing in fur pants,Science & Technology,0.7027009683728755,0.5651398684262456
Why we should draw more (and photograph less),Physical Fitness,0,0
The history of manners,Psychology,0.6780034295045156,0.36626776546452244
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0,0
Art with Mati and Dada – Henri Matisse,Visual Arts,0,0
Why don't haircuts hurt?,Science & Technology,0.691203361917025,0.017576559523813602
