Title,Category,Questions Average ROUGE-1,Questions Average ROUGE-2,Questions Average ROUGE-L,Options Average ROUGE-1,Options Average ROUGE-2,Options Average ROUGE-L
"Native Americans for kids: Cherokee, Apache, Navajo, Iroquois and Sioux",Anthropology,0,0,0,0,0,0
Why does everyone hate pigeons?,Science & Technology,0,0,0,0,0,0
What it's like to be a Muslim in America - Dalia Mogahed,Religion,0,0,0,0,0,0
Is it normal to talk to yourself?,Psychology,0,0,0,0,0,0
How tall can a tree grow? - Valentin Hammoudi,Science & Technology,0.31093567251461984,0.11718020541549953,0.26204678362573103,0.21179390054390052,0.1,0.21179390054390052
Can you solve the dark matter fuel riddle? - Daniel Finkel,Literature & Language,0,0,0,0,0,0
"Why should you read Toni Morrison's ""Beloved""? - Yen Pham",Literature,0,0,0,0,0,0
Can you outsmart this logical fallacy? - Alex Gendler,Thinking & Learning,0,0,0,0,0,0
Einstein's twin paradox explained - Amber Stuver,Mathematics,0,0,0,0,0,0
Why should you wear sunscreen?,Science & Technology,0.31440138808559864,0.08333333333333333,0.29901677270098326,0.12529761904761905,0.022549019607843137,0.1097420634920635
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,"Design, Engineering & Technology",0.44037634408602144,0.21714285714285717,0.36913978494623656,0.1115873015873016,0.022619047619047615,0.0973015873015873
Food waste causes climate change. Here's how we stop it,Science & Technology,0.4612796973947044,0.20548141513658752,0.43098516724042674,0.16370182105476222,0.04158730158730159,0.14975951336245455
"How do self-driving cars ""see""? - Sajan Saini","Design, Engineering & Technology",0,0,0,0,0,0
Why is meningitis so dangerous? - Melvin Sanicas,Health,0,0,0,0,0,0
What is phantom traffic and why is it ruining your life? - Benjamin Seibold,"Design, Engineering & Technology",0,0,0,0,0,0
The race to decode a mysterious language - Susan Lupack,Linguistics,0.45435333369997616,0.20654528478057893,0.41343379347009107,0.10066612127596111,0.010795454545454546,0.08205404816388798
What if all the ice melted on Earth?,Science & Technology,0,0,0,0,0,0
Why are you always tired?,Health,0,0,0,0,0,0
"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",History,0,0,0,0,0,0
I Like Myself - Children's books read aloud,Literature,0,0,0,0,0,0
What is schizophrenia? - Anees Bahji,Health,0,0,0,0,0,0
How do pelicans survive their death-defying dives?,Environmental Science,0.38267206477732796,0.054654654654654654,0.27004048582995954,0.005555555555555556,0.0,0.005555555555555556
The truth about electroconvulsive therapy (ECT) - Helen M. Farrell,Health,0,0,0,0,0,0
What is imposter syndrome and how can you combat it? - Elizabeth Cox,Psychology,0,0,0,0,0,0
Fabulous food chains,Environmental Science,0,0,0,0,0,0
How An Igloo Keeps You Warm,"Design, Engineering & Technology",0,0,0,0,0,0
Infinity according to Jorge Luis Borges - Ilan Stavans,Health,0,0,0,0,0,0
Volcanic eruption explained - Steven Anderson,Science & Technology,0,0,0,0,0,0
The strange history of the world's most stolen painting - Noah Charney,Science & Technology,0,0,0,0,0,0
"Why should you read ""The God of Small Things"" by Arundhati Roy? - Laura Wright",Literature,0,0,0,0,0,0
Performing brain surgery without a scalpel - Hyunsoo Joshua No,"Design, Engineering & Technology",0.3924543198736747,0.0792929292929293,0.3038273554402587,0.1316192708220572,0.02199346405228758,0.1222015643455272
How this disease changes the shape of your cells - Amber M. Yates,Health,0.4766610201392811,0.2217878028404344,0.44022209674383594,0.03968253968253968,0.0,0.03968253968253968
The counting by fives song | Counting songs,Numbers & Operations,0,0,0,0,0,0
Why do we have leap years?,Teaching & Education,0,0,0,0,0,0
Is binge watching bad for you?,Health,0,0,0,0,0,0
Meet the microscopic life in your home--- and on your face - Anne Madden,"Design, Engineering & Technology",0,0,0,0,0,0
Why do we wrinkle when wet?,Health,0.31166666666666665,0.021739130434782608,0.16833333333333333,0.020833333333333336,0.012499999999999999,0.020833333333333336
3D shapes song | Shapes for kids,Geometry,0.27916000339529756,0.08,0.2360488922841864,0.0,0.0,0.0
The most common STI in the world - Emma Bryce,Literature & Language,0,0,0,0,0,0
Who was the world's first author? - Soraya Field Fiorio,Literature & Language,0,0,0,0,0,0
Harvey Milk's radical vision of equality - Lillian Faderman,Social Studies,0,0,0,0,0,0
Is human evolution speeding up or slowing down? - Laurence Hurst,Science & Technology,0,0,0,0,0,0
The surprising similarities between Twister and intelligence,Health,0,0,0,0,0,0
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,Science & Technology,0,0,0,0,0,0
Why beavers are the smartest thing in fur pants,Science & Technology,0,0,0,0,0,0
Why we should draw more (and photograph less),Physical Fitness,0,0,0,0,0,0
The history of manners,Psychology,0,0,0,0,0,0
Can you solve the multiplying rabbits riddle? - Alex Gendler,Mathematics,0,0,0,0,0,0
Art with Mati and Dada – Henri Matisse,Visual Arts,0.28802968960863695,0.017391304347826087,0.22397840755735493,0.0202020202020202,0.0,0.0202020202020202
Why don't haircuts hurt?,Science & Technology,0,0,0,0,0,0
An Exercise in Self Compassion,Emotional Health,0,0,0,0,0,0
The secret language of trees - Camille Defrenne and Suzanne Simard,Health,0,0,0,0,0,0
The myth of the Sampo--- an infinite source of fortune and greed - Hanna-Ilona Härmävaara,Literature & Language,0,0,0,0,0,0
Why some people don't have an inner monologue,Psychology,0,0,0,0,0,0
Can you survive nuclear fallout? - Brooke Buddemeier and Jessica S. Wieder,Science & Technology,0,0,0,0,0,0
The rise and fall of the Lakota Empire - Pekka Hämäläinen,History,0.24727327574386396,0.09144927536231884,0.24727327574386396,0.014285714285714287,0.0,0.014285714285714287
Climate change will displace millions. Here's how we prepare - Colette Pichon Battle,Science & Technology,0,0,0,0,0,0
The counting by tens song | Counting songs,Numbers & Operations,0.2705080347928645,0.09624871001031991,0.2705080347928645,0.12250000000000001,0.0,0.12250000000000001
Licking bees and pulping trees: The reign of a wasp queen - Kenny Coogan,Science & Technology,0,0,0,0,0,0
The physics of surfing - Nick Pizzo,Science & Technology,0,0,0,0,0,0
Why do these deadly insects look like flowers?,Science & Technology,0,0,0,0,0,0
Better know the Mona Lisa,Visual Arts,0.3178149386845039,0.0,0.19409884801189145,0.0,0.0,0.0
SH | fun phonics | how to read,Literature & Language,0,0,0,0,0,0
What makes neon signs glow? A 360 degree animation - Michael Lipman,"Design, Engineering & Technology",0.2859426448391965,0.06562962962962963,0.1669587832346453,0.0,0.0,0.0
Prohibition: Banning alcohol was a bad idea... - Rod Phillips,Social Studies,0,0,0,0,0,0
How the COVID-19 vaccines were created so quickly - Kaitlyn Sadtler and Elizabeth Wayne,Health,0,0,0,0,0,0
The science of Flint's water crisis,Public Health,0,0,0,0,0,0
How bones make blood - Melody Smith,Health,0.4653983637696116,0.12852941176470586,0.44186895200490567,0.16828102453102453,0.03611111111111111,0.16292388167388167
How soap kills the coronavirus,Public Health,0,0,0,0,0,0
What makes TB the world's most infectious killer? - Melvin Sanicas,Science & Technology,0,0,0,0,0,0
The world's ugliest animal,Environmental Science,0,0,0,0,0,0
Why is this painting so shocking? - Iseult Gillespie,The Arts,0,0,0,0,0,0
The imaginary king who changed the real world - Matteo Salvadore,Social Studies,0,0,0,0,0,0
What happens when you lose a balloon?,Science & Technology,0.3966597653554175,0.0921904761904762,0.3644536461927766,0.15506819453710013,0.021610983981693362,0.13170979854712522
The quest for the perfect apple,Science & Technology,0,0,0,0,0,0
3 bizarre (and delightful) ancient theories about bird migration - Lucy Cooke,Literature & Language,0,0,0,0,0,0
Why perfect grades don't matter,Teaching & Education,0,0,0,0,0,0
Can you trust your ears? (audio illusions),Health,0,0,0,0,0,0
Why is my leg asleep?,Health,0,0,0,0,0,0
Why don't we throw trash in volcanoes?,Science & Technology,0,0,0,0,0,0
Is life meaningless? And other absurd questions - Nina Medvinskaya,Philosophy,0,0,0,0,0,0
"Why should you read ""Moby Dick""? - Sascha Morrell",Literature & Language,0,0,0,0,0,0
Why do American schools have such long hours?,Teaching & Education,0,0,0,0,0,0
Here Comes Teacher Cat - Read aloud picture book,Literature,0,0,0,0,0,0
What happens when nature goes viral?,Science & Technology,0,0,0,0,0,0
The myth of Loki and the master builder - Alex Gendler,Literature & Language,0,0,0,0,0,0
How Thor got his hammer - Scott A. Mellor,Social Studies,0,0,0,0,0,0
Helping others makes us happier--- but it matters how we do it - Elizabeth Dunn,Psychology,0,0,0,0,0,0
"What is Juneteenth, and why is it important? - Karlos K. Hill and Soraya Field Fiorio",Social Studies,0,0,0,0,0,0
Why should you read Sylvia Plath? - Iseult Gillespie,Literature & Language,0,0,0,0,0,0
There may be extraterrestrial life in our solar system - Augusto Carballido,Science & Technology,0,0,0,0,0,0
The Princess and the Pea - Read aloud picture book,Literature,0,0,0,0,0,0
Can you solve the secret sauce riddle? - Alex Gendler,Problem Solving,0,0,0,0,0,0
The secret society of the Great Dismal Swamp - Dan Sayers,Social Studies,0,0,0,0,0,0
Why parrots can talk like humans,Life Sciences,0,0,0,0,0,0
Your brain hallucinates your conscious reality - Anil Seth,"Consciousness, Sensation and Perception",0,0,0,0,0,0
Can you solve the Ragnarok riddle? - Dan Finkel,Thinking & Learning,0,0,0,0,0,0
What is depression? - Helen M. Farrell,Psychology,0,0,0,0,0,0
Why does smoke follow you around a fire?,Science & Technology,0,0,0,0,0,0
How to deal with rejection,Psychology,0,0,0,0,0,0
