page,video_number,ground_truth_index,generated_index,relevance_score,correct_answer_matching_score,distractor_plausibility_score,clarity_and_readability_score,total_score
90,1,1,1,0.9,0.0,0.8,0.9,0.65
90,1,2,6,0.9,1.0,0.8,0.9,0.9
90,1,3,3,0.9,0.0,0.8,0.9,0.65
90,1,4,5,0.9,0.0,0.6,0.9,0.6
90,1,5,9,0.9,0.0,0.8,1.0,0.675
90,2,1,1,0.9,0.8,0.7,0.9,0.825
90,2,2,2,0.8,0.0,0.6,0.9,0.575
90,2,3,3,0.5,0.0,0.75,0.9,0.5375
90,2,4,3,0.6,0.0,0.4,0.8,0.45
90,2,5,6,0.8,0.0,0.2,0.8,0.45
90,3,1,4,0.0,0.0,0.8,1.0,0.45
90,3,2,2,0.2,0.0,0.8,0.9,0.475
90,3,3,2,0.6,0.0,0.8,0.9,0.575
90,3,4,1,0.9,0.0,0.8,0.9,0.65
90,3,5,7,0.9,0.0,0.5,0.9,0.575
90,4,1,3,0.5,0.0,0.25,0.75,0.375
90,4,2,1,0.8,0.5,0.6,0.9,0.7
90,4,3,7,0.8,0.0,0.6,0.9,0.575
90,4,4,4,0.6,0.0,0.4,0.8,0.45
90,4,5,6,0.5,0.0,0.75,1.0,0.5625
90,5,1,1,0.5,0.0,0.25,0.5,0.3125
90,5,2,2,0.5,0.0,0.75,0.9,0.5375
90,5,4,5,0.6,0.0,0.4,0.8,0.45
90,5,5,5,0.6,0.0,0.8,0.9,0.575
90,6,1,2,0.2,0.0,0.5,0.8,0.375
90,6,3,8,0.8,1.0,0.6,0.9,0.825
90,6,4,7,0.2,0.0,0.8,1.0,0.5
90,6,5,6,0.8,0.5,0.6,0.9,0.7
90,7,1,2,0.8,0.0,0.6,0.9,0.575
90,7,2,1,0.6,0.8,0.8,0.9,0.775
90,7,3,3,0.8,0.8,0.6,0.9,0.775
90,7,4,9,0.8,0.0,0.6,0.9,0.575
90,7,5,4,0.9,0.9,0.6,0.9,0.825
90,8,1,4,0.9,1.0,0.8,0.9,0.9
90,8,2,3,0.8,0.8,0.6,0.9,0.775
90,8,3,4,0.8,0.5,0.6,0.9,0.7
90,8,4,9,0.8,0.0,0.6,0.9,0.575
90,8,5,5,0.8,0.0,0.6,0.9,0.575
90,9,1,1,0.8,0.6667,0.6,0.9,0.7417
90,9,2,2,0.8,0.8,0.6,0.9,0.775
90,9,3,3,0.9,0.0,0.6,0.9,0.6
90,9,4,4,0.8,1.0,0.8,0.9,0.875
90,9,5,8,0.8,0.0,0.8,1.0,0.65
90,9,6,2,0.2,0.0,0.5,0.8,0.375
90,10,1,5,1.0,1.0,0.75,1.0,0.9375
90,10,2,9,1.0,0.0,0.75,1.0,0.9375
90,10,3,1,0.6,0.0,0.8,1.0,0.6
90,10,4,5,0.6,0.0,0.4,0.8,0.45
90,10,5,4,0.8,0.8,0.6,0.9,0.775
90,11,1,1,0.9,0.8,0.7,0.9,0.825
90,11,2,5,0.9,0.0,0.8,0.9,0.65
90,11,3,4,0.9,0.9,0.8,0.9,0.875
90,11,4,9,0.8,0.5,0.6,0.9,0.7
90,12,1,3,0.9,1.0,0.8,0.95,0.9125
90,12,2,4,0.9,0.0,0.8,0.9,0.65
90,12,3,7,0.6,0.0,0.8,1.0,0.6
90,12,4,9,0.9,1.0,0.8,0.9,0.85
90,12,5,10,0.8,0.0,0.6,0.9,0.575
90,13,1,1,0.8,0.6667,0.5,0.9,0.7167
90,13,2,2,0.6,0.0,0.8,0.9,0.575
90,13,3,3,0.8,0.5,0.6,0.9,0.7
90,13,4,1,0.6,0.0,0.8,0.9,0.575
90,13,5,3,0.9,0.0,0.8,0.9,0.65
90,14,1,8,0.8,0.6667,0.5,0.9,0.7167
90,14,2,2,0.9,0.0,0.8,0.9,0.65
90,14,3,3,0.9,0.75,0.8,0.9,0.8375
90,14,4,4,0.9,0.8,0.7,0.9,0.825
90,14,5,10,0.2,0.0,0.8,0.9,0.475
90,15,1,3,0.4,0.0,0.6,0.8,0.45
90,15,2,4,0.8,0.8,0.6,0.9,0.775
90,16,1,5,0.8,0.0,0.6,0.9,0.575
90,16,2,6,0.8,0.0,0.6,0.9,0.575
90,16,3,3,0.8,0.6667,0.75,0.9,0.7792
90,16,4,8,0.2,0.0,0.5,0.8,0.375
90,16,5,8,0.9,1.0,0.9,0.9,0.925
90,17,1,3,0.8,0.0,0.6,0.9,0.575
90,17,2,10,0.6,0.0,0.8,0.9,0.575
90,17,3,8,0.6,0.0,0.8,0.9,0.575
90,17,4,6,0.8,0.0,0.6,0.9,0.575
90,17,5,3,0.9,0.0,0.8,0.9,0.65
90,19,1,1,0.8,0.8,0.6,0.9,0.775
90,19,2,7,0.8,0.5,0.75,0.9,0.7375
90,19,3,2,0.9,0.8,0.7,0.9,0.825
90,19,4,6,0.9,1.0,0.8,0.9,0.85
90,19,5,9,0.0,0.0,0.0,0.0,0.0
90,20,1,1,0.2,0.0,0.5,1.0,0.425
90,20,2,5,0.8,0.5,0.2,0.9,0.6
90,20,3,4,0.8,0.0,0.6,0.9,0.575
90,20,4,6,0.6,0.0,0.8,0.9,0.575
90,20,5,9,0.6,0.0,0.4,0.8,0.45
90,21,1,3,0.5,0.0,0.75,1.0,0.5625
90,21,2,6,0.2,0.0,0.5,0.8,0.375
90,21,3,5,0.0,0.0,0.5,1.0,0.375
90,21,4,6,0.8,0.5,0.6,0.9,0.7
90,21,5,5,0.8,0.0,0.6,0.9,0.575
90,22,1,3,1.0,1.0,0.8,1.0,0.95
90,22,2,1,0.9,1.0,0.9,0.95,0.9125
90,22,3,1,0.9,1.0,0.8,0.9,0.9
90,22,4,5,0.8,0.8,0.6,0.9,0.775
90,22,5,6,0.6,0.5,0.8,0.9,0.7
90,23,1,6,0.2,0.0,0.5,0.8,0.375
90,23,2,4,0.9,1.0,0.8,0.9,0.85
90,23,3,8,0.9,1.0,0.8,0.9,0.9
90,23,4,10,0.6,0.0,0.4,0.8,0.45
90,23,5,10,0.6,0.0,0.4,0.8,0.45
90,23,6,7,0.6,0.0,0.4,0.8,0.45
90,24,1,1,0.5,0.0,0.75,0.9,0.5375
90,24,2,4,0.8,0.5,0.6,0.9,0.7
90,24,3,5,0.2,0.0,0.5,0.8,0.375
90,24,4,6,0.9,0.8,0.6,0.9,0.8
90,24,5,3,0.6,0.0,0.8,0.9,0.575
90,24,6,2,1.0,1.0,0.8,1.0,0.95
