page,video_number,ground_truth_index,generated_index,relevance_score,correct_answer_matching_score,distractor_plausibility_score,clarity_and_readability_score,total_score
84,1,1,1,0.8,0.5,0.6,0.9,0.7
84,1,2,6,0.8,1.0,0.8,0.9,0.85
84,1,3,5,0.6,1.0,0.8,0.9,0.825
84,1,4,5,0.6,0.8,0.4,0.9,0.675
84,1,5,6,0.6,0.5,0.8,0.9,0.7
84,2,1,7,0.9,0.8,0.6,0.9,0.8
84,2,2,3,0.9,1.0,0.8,0.9,0.9
84,2,3,9,0.9,0.9,0.8,0.9,0.875
84,2,4,5,0.6,0.0,0.8,1.0,0.6
84,2,5,5,0.2,0.0,0.5,1.0,0.425
84,3,1,5,0.9,1.0,0.8,1.0,0.925
84,3,2,2,0.9,1.0,0.8,0.9,0.9
84,3,3,2,0.9,1.0,0.8,0.9,0.9
84,3,4,9,0.8,1.0,0.8,1.0,0.9
84,3,5,3,0.8,1.0,0.8,1.0,0.9
84,3,6,5,0.9,1.0,0.8,1.0,0.925
84,4,1,2,0.6,0.0,0.8,0.9,0.575
84,4,2,2,0.9,1.0,0.8,0.9,0.9
84,4,3,2,0.2,0.0,0.8,0.9,0.475
84,4,4,11,0.9,1.0,0.8,1.0,0.925
84,4,5,9,0.2,0.0,0.8,0.9,0.475
84,5,1,3,0.9,1.0,0.8,0.9,0.9
84,5,2,2,0.6,0.0,0.8,1.0,0.6
84,5,3,4,0.8,0.0,0.6,0.9,0.575
84,5,4,7,0.2,0.0,0.8,0.9,0.475
84,5,5,5,0.6,0.0,0.8,0.9,0.575
84,6,1,9,0.6,0.0,0.8,0.9,0.575
84,6,2,5,0.0,0.0,0.8,1.0,0.45
84,6,3,3,0.9,1.0,0.8,0.9,0.9
84,6,4,5,0.8,1.0,0.8,1.0,0.9
84,6,5,8,0.9,1.0,0.8,1.0,0.925
84,7,1,1,0.2,0.0,0.8,1.0,0.5
84,7,2,1,0.0,0.0,0.5,1.0,0.375
84,7,3,3,0.6,0.0,0.8,0.9,0.575
84,7,4,4,0.8,0.8,0.6,0.9,0.775
84,7,5,6,0.8,0.0,0.6,0.9,0.575
84,8,1,4,0.5,0.0,0.75,0.9,0.5375
84,8,2,1,0.6,0.0,0.8,0.9,0.575
84,8,3,1,0.8,0.0,0.6,0.9,0.575
84,8,4,3,0.8,1.0,0.8,1.0,0.9
84,8,5,5,0.2,0.0,0.8,0.9,0.475
84,8,6,5,0.2,0.0,0.8,0.9,0.475
84,9,1,6,0.6,0.8,0.8,0.9,0.775
84,9,2,1,0.9,0.8,0.7,0.9,0.825
84,9,3,5,0.6,0.8,0.4,0.9,0.675
84,9,4,5,0.6,0.5,0.8,0.9,0.7
84,9,5,5,0.6,0.5,0.8,0.9,0.7
84,10,1,2,0.9,1.0,0.8,0.9,0.85
84,10,2,2,0.8,0.8,0.6,0.9,0.775
84,10,3,3,0.9,1.0,0.8,0.9,0.9
84,10,4,5,0.9,1.0,0.8,0.95,0.9125
84,11,1,6,0.6,0.75,0.8,0.9,0.7625
84,11,2,8,0.8,0.5,0.75,0.9,0.7375
84,12,1,1,0.9,1.0,0.8,0.9,0.85
84,12,2,1,0.0,0.0,0.0,1.0,0.25
84,12,3,1,0.9,1.0,0.8,0.9,0.85
84,12,4,1,0.6,1.0,0.8,0.9,0.825
84,12,5,1,0.5,0.0,0.25,0.75,0.375
84,13,1,7,0.0,0.0,0.0,0.5,0.125
84,13,2,1,0.0,0.0,0.0,0.5,0.125
84,13,3,1,0.0,0.0,0.0,0.5,0.125
84,13,4,4,0.0,0.0,0.0,0.5,0.125
84,13,5,1,0.0,0.0,0.5,0.8,0.325
84,16,1,1,0.0,0.0,0.0,1.0,0.25
84,16,4,1,0.0,0.0,0.0,1.0,0.0
84,17,1,1,0.0,0.0,0.0,1.0,0.25
84,18,1,9,0.0,0.0,0.5,0.8,0.325
84,18,2,9,0.0,0.0,0.5,0.8,0.325
84,19,1,1,0.0,0.0,0.0,1.0,0.25
84,19,2,1,0.0,0.0,0.0,1.0,0.25
84,19,4,1,0.0,0.0,0.0,1.0,0.25
84,19,5,1,0.0,0.0,0.0,0.5,0.125
84,21,1,1,0.9,1.0,0.8,0.9,0.85
84,21,2,1,0.0,0.0,0.0,0.5,0.125
84,21,3,8,0.0,0.0,0.0,1.0,0.25
84,22,1,1,0.0,0.0,0.0,0.5,0.125
84,22,3,1,0.0,0.0,0.0,0.5,0.125
84,23,1,6,0.9,1.0,0.8,0.9,0.85
84,23,3,6,0.9,1.0,0.8,0.9,0.85
84,23,4,6,0.9,1.0,0.8,0.9,0.85
