page,video_number,ground_truth_index,generated_index,relevance_score,correct_answer_matching_score,distractor_plausibility_score,clarity_and_readability_score,total_score
55,1,1,3,0.8,0.8,0.6,0.9,0.775
55,1,2,3,0.9,1.0,0.8,0.95,0.9125
55,1,3,5,0.8,0.5,0.8,0.9,0.75
55,2,1,2,0.8,1.0,0.8,1.0,0.85
55,2,2,6,0.5,0.0,0.75,0.9,0.5375
55,2,3,5,0.8,0.8,0.9,0.9,0.85
55,3,1,4,0.2,0.0,0.8,0.9,0.475
55,3,2,2,0.0,0.0,0.5,1.0,0.375
55,3,3,1,0.9,1.0,0.8,1.0,0.925
55,4,1,4,0.8,0.5,0.6,0.9,0.7
55,4,2,3,0.8,0.6667,0.75,0.9,0.7792
55,5,1,7,0.8,1.0,0.6,1.0,0.85
55,5,2,4,0.6,0.0,0.4,0.8,0.45
55,5,3,9,0.9,1.0,0.8,0.9,0.9
55,5,4,8,0.5,0.3333,0.75,1.0,0.6458
55,6,1,7,0.9,0.8,0.6,0.9,0.8
55,6,2,8,0.2,0.0,0.8,0.9,0.475
55,6,3,6,0.2,0.0,0.8,0.9,0.475
55,7,1,8,0.5,0.0,0.75,0.9,0.5375
55,7,2,2,0.6,0.0,0.8,0.9,0.575
55,7,3,8,0.0,0.0,0.5,0.8,0.325
55,7,4,4,0.6,0.0,0.8,0.9,0.575
55,8,1,3,0.8,1.0,0.8,0.9,0.85
55,8,2,3,0.9,0.9,0.8,0.9,0.875
55,8,3,3,0.5,0.0,0.75,0.9,0.5375
55,8,4,4,0.9,0.8,0.7,0.9,0.825
55,8,5,4,0.6,0.0,0.8,0.9,0.575
55,8,6,4,0.5,0.0,0.75,0.9,0.5375
55,9,1,2,0.2,0.0,0.5,0.8,0.375
55,9,2,1,0.6,0.0,0.8,0.9,0.575
55,9,3,2,0.2,0.0,0.8,0.9,0.475
55,9,4,4,0.8,0.5,0.6,0.9,0.7
