page,video_number,ground_truth_index,generated_index,relevance_score,correct_answer_matching_score,distractor_plausibility_score,clarity_and_readability_score,total_score
32,1,1,3,0.8,1.0,0.8,0.9,0.875
32,1,2,2,0.8,0.0,0.6,0.9,0.575
32,1,3,2,0.9,1.0,0.8,1.0,0.925
32,1,4,3,0.8,1.0,0.8,0.9,0.875
32,1,5,3,0.6,0.5,0.8,0.9,0.7
32,3,1,9,0.9,1.0,0.8,0.9,0.9
32,3,2,3,0.8,0.8,0.9,0.9,0.85
32,3,3,15,0.5,0.0,0.75,0.9,0.5375
32,3,4,12,0.8,0.0,0.6,0.9,0.575
32,3,5,14,0.6,0.0,0.8,0.9,0.575
32,3,6,9,0.9,1.0,0.8,0.9,0.9
32,5,1,9,0.8,0.8,0.6,0.9,0.775
32,5,2,12,0.6,0.0,0.8,0.9,0.575
32,5,3,3,0.8,0.0,0.8,0.9,0.625
32,5,4,11,0.0,0.0,0.8,0.9,0.425
32,5,5,13,0.6,0.5,0.8,0.9,0.7
32,6,1,5,0.5,0.0,0.75,0.9,0.5375
32,6,2,3,0.2,0.0,0.8,0.9,0.475
32,7,1,8,0.6,0.0,0.8,0.9,0.575
32,7,2,8,0.5,0.0,0.75,0.9,0.5375
32,7,3,7,0.6,0.0,0.8,0.9,0.575
32,7,4,8,0.6,0.5,0.8,0.9,0.7
32,7,5,6,0.8,1.0,0.6,0.9,0.825
32,8,1,5,0.8,0.0,0.6,0.9,0.575
32,8,2,2,0.8,1.0,0.6,1.0,0.85
32,8,3,4,0.8,0.6667,0.5,0.9,0.7167
32,8,4,5,0.4,0.0,0.6,0.8,0.45
32,8,5,6,0.8,0.0,0.6,0.9,0.575
32,11,1,1,0.2,0.0,0.8,0.9,0.475
32,11,2,1,0.9,1.0,0.8,0.9,0.9
32,11,3,7,0.2,0.0,0.5,0.8,0.375
32,11,4,10,0.5,0.0,0.75,0.9,0.5375
32,11,5,6,0.6,0.0,0.8,0.9,0.575
32,12,1,3,0.9,0.8,0.7,0.9,0.825
32,12,2,11,0.8,0.0,0.8,0.9,0.625
32,12,3,4,0.6,0.0,0.8,0.9,0.575
32,12,4,7,0.8,0.8,0.6,0.9,0.775
32,12,5,4,0.2,0.0,0.8,0.9,0.475
32,13,1,1,0.2,0.0,0.8,0.9,0.475
32,13,2,8,0.5,0.0,0.75,0.9,0.5375
32,13,3,8,0.0,0.0,0.8,0.9,0.425
32,13,4,9,0.2,0.0,0.8,0.9,0.475
32,13,5,1,0.9,1.0,0.8,1.0,0.925
32,14,1,3,0.2,0.0,0.8,0.9,0.475
32,14,2,3,0.8,0.5,0.6,0.9,0.7
32,14,3,6,0.8,0.5,0.6,0.9,0.7
32,14,4,6,0.5,0.0,0.75,0.9,0.5375
32,14,5,5,0.2,0.0,0.8,0.9,0.475
32,15,1,1,0.8,0.0,0.6,0.9,0.575
32,15,2,7,0.4,0.0,0.8,0.9,0.525
32,15,3,7,0.5,0.0,0.75,0.9,0.5375
32,15,4,14,0.8,0.8,0.6,0.9,0.775
32,15,5,4,0.6,0.0,0.8,0.9,0.575
32,17,1,3,0.8,0.0,0.6,0.9,0.575
32,17,2,2,1.0,1.0,0.8,1.0,0.95
32,17,3,4,0.8,0.5,0.8,0.9,0.75
32,17,4,2,0.8,0.0,0.6,1.0,0.6
32,17,5,2,0.6,0.5,0.8,0.9,0.7
32,18,1,9,0.6,0.0,0.8,0.9,0.575
32,18,2,7,0.9,1.0,0.8,0.95,0.9125
32,18,3,7,1.0,1.0,1.0,1.0,1.0
32,18,4,10,0.6,0.0,0.8,0.9,0.575
32,18,5,8,0.4,0.0,0.8,0.9,0.525
32,19,1,1,0.5,0.0,0.75,1.0,0.5625
32,19,2,1,1.0,1.0,0.8,1.0,0.95
32,19,3,1,0.5,0.0,0.75,1.0,0.5625
32,19,4,1,1.0,1.0,0.8,1.0,0.95
32,21,1,3,0.6,0.0,0.8,0.9,0.575
32,21,2,15,0.6,0.0,0.8,0.9,0.575
32,21,3,9,0.8,1.0,0.8,0.9,0.875
32,21,4,1,0.8,1.0,0.8,1.0,0.9
32,21,5,14,0.9,1.0,0.8,1.0,0.925
32,22,1,3,0.2,0.0,0.8,0.9,0.475
32,23,1,4,0.8,0.0,0.8,0.9,0.625
32,23,2,3,0.5,0.0,0.75,1.0,0.5625
32,23,3,4,0.6,0.0,0.8,0.9,0.575
32,23,4,8,0.0,0.0,0.5,0.8,0.325
32,23,5,10,0.9,1.0,0.8,0.9,0.9
32,24,1,3,0.9,1.0,0.8,0.9,0.9
32,24,2,11,0.2,0.0,0.8,0.9,0.475
32,24,3,3,0.2,0.0,0.8,0.9,0.475
32,24,4,3,0.2,0.0,0.8,0.9,0.475
32,24,5,6,0.6,0.0,0.8,0.9,0.575
