page,video_number,ground_truth_index,generated_index,relevance_score,correct_answer_matching_score,distractor_plausibility_score,clarity_and_readability_score,total_score
85,1,2,3,0.9,0.8,0.7,0.9,0.825
85,1,3,4,0.8,0.0,0.8,1.0,0.65
85,1,4,5,0.6,0.0,0.8,0.9,0.575
85,2,1,5,0.6,0.0,0.8,0.9,0.575
85,2,2,7,0.6,0.0,0.8,0.9,0.575
85,2,3,5,0.4,0.0,0.6,0.8,0.45
85,2,4,9,0.6,0.0,0.8,0.9,0.575
85,2,5,2,0.9,0.8,0.7,0.9,0.825
85,3,1,1,0.9,0.0,0.8,0.9,0.65
85,3,2,2,0.5,0.0,0.75,0.9,0.5375
85,3,4,4,0.6,0.0,0.8,0.9,0.575
85,3,5,8,0.9,1.0,0.9,1.0,0.925
85,4,1,2,1.0,1.0,0.5,1.0,0.875
85,4,2,4,0.8,0.5,0.6,0.9,0.7
85,4,3,6,0.9,0.9,0.8,0.9,0.875
85,4,4,5,0.9,1.0,0.8,0.9,0.85
85,5,1,1,0.8,0.5,0.6,0.9,0.7
85,5,3,7,0.6,0.0,0.8,0.9,0.575
85,6,1,3,0.6,0.0,0.8,0.9,0.575
85,6,2,2,0.8,0.5,0.6,0.9,0.7
85,6,3,5,0.9,1.0,0.8,0.9,0.9
85,6,4,6,0.9,0.8,0.7,0.9,0.825
85,6,5,8,0.8,1.0,0.8,0.9,0.875
85,7,1,1,0.8,0.0,0.6,0.9,0.575
85,8,3,9,0.9,1.0,0.8,0.9,0.9
85,8,4,6,0.8,0.0,0.6,0.9,0.575
85,8,5,9,0.8,0.8,0.6,0.9,0.775
85,8,6,5,0.8,0.0,0.6,0.9,0.575
85,9,1,3,0.0,0.0,0.5,1.0,0.375
85,9,2,8,0.0,0.0,0.0,0.0,0.0
85,9,3,8,0.2,0.0,0.5,0.8,0.375
85,10,1,2,0.9,0.9,0.8,0.9,0.875
85,10,3,3,0.8,0.8,0.6,0.9,0.775
85,10,4,5,0.2,0.0,0.5,1.0,0.425
85,10,5,6,0.8,0.5,0.6,0.9,0.7
85,11,1,6,0.8,0.8,0.6,0.9,0.775
85,11,2,3,0.2,0.0,0.5,0.8,0.375
85,11,3,3,0.9,1.0,0.8,0.9,0.9
85,11,4,4,1.0,1.0,1.0,1.0,1.0
85,12,2,8,0.8,0.0,0.6,0.9,0.575
85,12,3,9,0.9,1.0,0.9,0.9,0.875
85,13,1,4,0.8,0.0,0.6,0.9,0.575
85,13,2,8,0.5,0.0,0.75,0.9,0.5375
85,13,3,8,0.6,0.0,0.8,0.9,0.575
85,13,4,5,0.6,0.0,0.4,0.8,0.45
85,13,5,7,0.9,0.8,0.7,0.9,0.825
85,14,1,1,0.9,1.0,0.8,0.9,0.9
85,14,2,2,0.9,0.0,0.8,0.9,0.65
85,14,3,3,0.8,0.0,0.6,0.9,0.575
85,14,4,4,0.9,1.0,0.8,1.0,0.925
85,14,5,8,0.6,0.0,0.8,0.9,0.575
85,15,1,2,0.8,0.25,0.75,0.9,0.675
85,15,3,3,0.9,0.0,0.8,0.9,0.65
85,15,4,3,0.2,0.0,0.5,0.8,0.375
85,15,5,7,0.6,0.0,0.4,0.8,0.45
85,16,1,1,0.9,0.5,0.6,0.9,0.725
85,16,2,6,0.9,1.0,0.8,0.9,0.85
85,16,3,5,0.2,0.0,0.5,0.8,0.375
85,16,4,8,0.8,0.0,0.6,0.9,0.575
85,17,2,1,0.0,0.0,0.5,0.8,0.325
85,17,3,2,0.8,1.0,0.6,0.9,0.825
85,17,4,3,0.9,1.0,0.8,0.9,0.85
85,17,5,5,0.8,0.0,0.6,0.9,0.575
85,18,1,4,0.6,0.0,0.8,0.9,0.575
85,18,2,2,0.6,0.0,0.8,0.9,0.575
85,18,3,5,0.8,0.0,0.6,0.9,0.575
85,18,5,6,0.9,0.0,0.8,0.9,0.65
85,19,1,5,0.8,0.0,0.6,0.9,0.575
85,19,2,4,0.9,1.0,0.8,0.9,0.9
85,19,3,2,0.9,0.8,0.7,0.9,0.825
85,19,4,9,0.9,0.8,0.7,0.9,0.825
85,19,5,1,0.5,0.0,0.75,1.0,0.5625
85,21,1,3,0.2,0.0,0.8,0.9,0.475
